wave,Re,Im
0.26,1.39,0.171
0.3,1.439,0.205
0.34,1.483,0.23
0.38,1.514,0.243
0.42,1.539,0.255
0.46,1.565,0.266
0.5,1.589,0.273
0.54,1.608,0.277
0.58,1.624,0.281
0.62,1.639,0.285
0.66,1.652,0.289
0.7,1.664,0.293
0.74,1.676,0.298
0.78,1.688,0.302
0.82,1.701,0.305
0.86,1.71,0.308
0.9,1.722,0.312
0.94,1.731,0.314
0.98,1.741,0.317
1.02,1.75,0.319
1.06,1.759,0.321
1.1,1.768,0.324
1.14,1.776,0.326
1.18,1.785,0.328
1.22,1.793,0.33
1.26,1.801,0.331
1.3,1.809,0.333
1.34,1.816,0.335
1.38,1.824,0.336
1.42,1.831,0.337
1.46,1.838,0.338
1.5,1.844,0.338
1.54,1.842,0.339
1.58,1.858,0.34
1.62,1.86,0.341